DATE,Open,High,Low,Close*,Adj Close**,Volume
2022-06-01,"4,138.50","4,165.00","4,071.50",4099.00,4099.00,"1,912,031"
2022-05-31,"4,164.50","4,202.25","4,102.75",4131.25,4131.25,"2,222,573"
2022-05-27,"4,047.50","4,168.25","4,041.25",4155.75,4155.75,"1,547,507"
2022-05-26,"3,972.25","4,073.50","3,960.50",4055.75,4055.75,"1,493,132"
2022-05-25,"3,950.00","3,997.75","3,913.50",3976.75,3976.75,"1,744,116"
2022-05-24,"3,951.75","3,954.50","3,872.00",3940.50,3940.50,"2,017,453"
2022-05-23,"3,910.50","3,982.25","3,906.50",3971.75,3971.75,"1,736,162"
2022-05-20,"3,900.50","3,949.50","3,807.50",3899.50,3899.50,"2,408,399"
2022-05-19,"3,916.50","3,943.50","3,856.00",3897.75,3897.75,"2,317,604"
2022-05-18,"4,091.25","4,095.00","3,905.50",3922.75,3922.75,"2,202,394"
2022-05-17,"4,002.00","4,091.50","4,000.50",4084.75,4084.75,"1,716,498"
2022-05-16,"4,025.00","4,043.50","3,979.50",4004.75,4004.75,"1,695,198"
2022-05-13,"3,916.25","4,036.00","3,915.50",4019.75,4019.75,"1,859,074"
2022-05-12,"3,939.75","3,961.75","3,855.00",3927.25,3927.25,"2,380,563"
2022-05-11,"3,990.50","4,050.50","3,923.75",3930.25,3930.25,"2,157,244"
2022-05-10,"3,993.25","4,065.50","3,953.00",3996.75,3996.75,"2,247,750"
2022-05-09,"4,087.25","4,099.00","3,970.00",3987.50,3987.50,"2,139,992"
2022-05-06,"4,146.50","4,153.25","4,062.00",4119.50,4119.50,"2,310,919"
2022-05-05,"4,289.75","4,300.75","4,099.25",4143.25,4143.25,"2,389,422"
2022-05-04,"4,171.25","4,303.00","4,142.75",4295.25,4295.25,"1,783,477"
2022-05-03,"4,145.50","4,195.75","4,129.00",4169.25,4169.25,"1,678,497"
2022-05-02,"4,144.00","4,165.75","4,056.00",4151.00,4151.00,"2,351,404"
2022-04-29,"4,244.00","4,279.75","4,118.75",4127.50,4127.50,"2,117,160"
2022-04-28,"4,213.00","4,303.50","4,182.50",4283.50,4283.50,"1,798,644"
2022-04-27,"4,149.50","4,236.25","4,149.00",4180.25,4180.25,"2,035,627"
2022-04-26,"4,294.00","4,303.50","4,136.75",4170.50,4170.50,"2,018,166"
2022-04-25,"4,259.00","4,296.50","4,195.25",4292.75,4292.75,"2,280,374"
2022-04-22,"4,385.75","4,393.25","4,247.50",4267.25,4267.25,"2,039,961"
2022-04-21,"4,468.00","4,509.00","4,380.00",4390.50,4390.50,"1,704,137"
2022-04-20,"4,441.00","4,484.25","4,432.75",4455.50,4455.50,"1,423,396"
2022-04-19,"4,399.00","4,467.00","4,371.75",4459.25,4459.25,"1,465,764"
2022-04-18,"4,390.00","4,406.25","4,355.50",4386.75,4386.75,"1,149,765"
2022-04-14,"4,438.50","4,455.75","4,385.00",4387.50,4387.50,"1,396,074"
2022-04-13,"4,396.75","4,449.50","4,384.00",4442.25,4442.25,"1,254,348"
2022-04-12,"4,411.00","4,466.75","4,375.50",4393.00,4393.00,"1,739,771"
2022-04-11,"4,488.75","4,491.25","4,403.50",4409.00,4409.00,"1,431,371"
2022-04-08,"4,494.75","4,519.75","4,468.75",4483.50,4483.50,"1,358,450"
2022-04-07,"4,471.25","4,517.25","4,444.50",4496.25,4496.25,"1,446,250"
2022-04-06,"4,526.25","4,528.75","4,444.50",4475.75,4475.75,"1,803,684"
2022-04-05,"4,576.25","4,588.75","4,507.75",4520.25,4520.25,"1,303,877"
2022-04-04,"4,538.25","4,580.00","4,527.75",4577.75,4577.75,"1,025,558"
2022-04-01,"4,541.00","4,555.50","4,501.25",4539.25,4539.25,"1,441,126"
