Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,389.710815,406.303955,367.935516,380.384064,380.384064,80202952933
2020-08-12,380.063812,444.577759,367.923615,423.669312,423.669312,95744624515
2020-08-19,423.738586,427.024658,374.355377,384.001038,384.001038,75988674363
2020-08-26,383.977448,487.211884,374.866486,477.051910,477.051910,81172952630
2020-09-02,477.007874,480.330994,316.774353,337.602112,337.602112,153340550888
2020-09-09,337.824921,388.959808,332.165009,364.839203,364.839203,135243922092
2020-09-16,364.743988,393.901611,336.068970,344.503174,344.503174,103588049641
2020-09-23,344.589905,366.432159,318.545105,359.757385,359.757385,95500481942
2020-09-30,360.038513,369.264404,336.467163,340.815857,340.815857,86110913627
2020-10-07,340.943085,395.122162,334.545563,381.190765,381.190765,94731634653
2020-10-14,381.971466,387.296173,362.597412,369.136902,369.136902,92104861071
2020-10-21,369.059418,420.141663,368.727966,403.997040,403.997040,102458457853
2020-10-28,403.997101,408.964752,371.312744,387.602173,387.602173,90223154311
2020-11-04,387.603210,465.675476,377.827606,449.679626,449.679626,103265470008
2020-11-11,449.679657,482.232208,440.254333,480.360077,480.360077,86799188898
2020-11-18,480.346832,621.173401,465.704254,603.897766,603.897766,142262281495
2020-11-25,603.902039,635.160583,485.497314,587.324158,587.324158,145267197077
2020-12-02,587.261597,622.452698,552.469238,554.827759,554.827759,99275376936
2020-12-09,554.792908,596.247742,532.998413,589.355591,589.355591,73684735705
2020-12-16,589.378662,673.834229,582.039124,634.854187,634.854187,112425217424
2020-12-23,634.824585,745.877747,560.364258,731.520142,731.520142,126887681525
2020-12-30,731.472839,1153.189209,718.109497,1100.006104,1100.006104,208296578520
2021-01-06,1101.005005,1347.926147,924.922607,1043.434570,1043.434570,301581043540
2021-01-13,1043.740967,1432.300049,994.549072,1377.295898,1377.295898,234083411760
2021-01-20,1375.248413,1467.784912,1046.596558,1357.058105,1357.058105,285445588659
2021-01-27,1358.333374,1542.990967,1215.311279,1515.193726,1515.193726,258106848574
2021-02-03,1514.769653,1815.963623,1501.750244,1768.035034,1768.035034,298335940973
